0.103,0.107,0.157,0.172,0.192,0.215,0.254,0.335,0.706,0.841,0.861,0.694,0.513,0.482,0.381,0.323,0.343,0.428,0.462,0.397,0.331,0.323,0.470,0.633,0.466,0.443,0.493,0.586,0.652,0.772,0.772,0.698,0.629,0.470,0.439,0.420,0.412,0.397,0.381,0.385
0.114,0.118,0.145,0.165,0.188,0.215,0.230,0.292,0.636,0.938,0.988,0.710,0.540,0.548,0.443,0.424,0.482,0.567,0.432,0.532,0.497,0.401,0.563,0.694,0.621,0.420,0.455,0.578,0.660,0.811,0.803,0.664,0.586,0.501,0.435,0.420,0.397,0.397,0.389,0.393
0.134,0.141,0.145,0.149,0.180,0.207,0.215,0.219,0.316,0.660,0.764,0.664,0.540,0.578,0.559,0.613,0.590,0.412,0.331,0.354,0.447,0.594,0.698,0.737,0.710,0.559,0.524,0.613,0.694,0.834,0.807,0.660,0.544,0.435,0.408,0.428,0.404,0.389,0.397,0.393
0.138,0.141,0.149,0.161,0.176,0.199,0.211,0.223,0.230,0.246,0.304,0.327,0.486,0.505,0.490,0.532,0.606,0.532,0.466,0.478,0.385,0.439,0.629,0.683,0.710,0.667,0.652,0.675,0.745,0.834,0.675,0.575,0.497,0.416,0.385,0.377,0.346,0.381,0.401,0.389
0.149,0.149,0.157,0.165,0.172,0.192,0.207,0.223,0.258,0.273,0.254,0.258,0.439,0.486,0.435,0.401,0.532,0.640,0.598,0.640,0.652,0.671,0.691,0.741,0.733,0.629,0.656,0.702,0.749,0.691,0.532,0.551,0.501,0.428,0.393,0.370,0.335,0.381,0.404,0.374
0.161,0.157,0.165,0.169,0.172,0.184,0.184,0.192,0.196,0.227,0.250,0.242,0.346,0.493,0.428,0.404,0.354,0.466,0.606,0.462,0.462,0.578,0.725,0.803,0.636,0.447,0.660,0.691,0.617,0.555,0.555,0.528,0.459,0.404,0.377,0.358,0.350,0.358,0.389,0.366
0.169,0.161,0.169,0.172,0.172,0.180,0.176,0.145,0.122,0.165,0.196,0.223,0.288,0.482,0.493,0.420,0.385,0.377,0.559,0.667,0.718,0.749,0.722,0.606,0.381,0.524,0.691,0.629,0.470,0.517,0.555,0.524,0.451,0.408,0.370,0.358,0.358,0.343,0.323,0.308
0.180,0.172,0.184,0.184,0.180,0.188,0.188,0.176,0.161,0.176,0.207,0.230,0.265,0.447,0.590,0.455,0.374,0.362,0.366,0.447,0.571,0.571,0.578,0.517,0.462,0.648,0.679,0.486,0.447,0.505,0.532,0.505,0.447,0.389,0.370,0.354,0.350,0.327,0.292,0.219
0.184,0.192,0.199,0.199,0.199,0.196,0.207,0.219,0.250,0.258,0.254,0.281,0.281,0.416,0.602,0.582,0.404,0.339,0.335,0.362,0.408,0.451,0.548,0.544,0.625,0.706,0.702,0.613,0.571,0.528,0.505,0.493,0.443,0.389,0.366,0.354,0.343,0.323,0.277,0.207
0.192,0.199,0.203,0.215,0.223,0.219,0.250,0.296,0.312,0.312,0.308,0.308,0.285,0.370,0.594,0.640,0.598,0.381,0.327,0.346,0.416,0.493,0.582,0.648,0.710,0.737,0.756,0.845,0.818,0.729,0.633,0.513,0.462,0.412,0.366,0.350,0.346,0.335,0.304,0.215
0.196,0.199,0.219,0.242,0.219,0.211,0.219,0.277,0.300,0.292,0.296,0.285,0.265,0.331,0.578,0.617,0.667,0.644,0.571,0.536,0.532,0.594,0.671,0.725,0.752,0.768,0.787,0.872,1.000,0.954,0.807,0.679,0.567,0.474,0.397,0.350,0.346,0.350,0.323,0.281
0.203,0.196,0.227,0.273,0.234,0.207,0.188,0.196,0.196,0.207,0.250,0.265,0.269,0.288,0.551,0.609,0.621,0.683,0.737,0.741,0.725,0.725,0.745,0.756,0.772,0.795,0.814,0.841,0.961,0.907,0.869,0.830,0.714,0.582,0.435,0.343,0.327,0.339,0.327,0.296
0.203,0.227,0.223,0.230,0.234,0.227,0.203,0.161,0.130,0.169,0.211,0.269,0.234,0.424,0.640,0.613,0.598,0.590,0.625,0.691,0.729,0.749,0.749,0.764,0.776,0.783,0.791,0.807,0.834,0.869,0.869,0.853,0.830,0.671,0.416,0.323,0.312,0.343,0.319,0.277
0.199,0.227,0.246,0.223,0.238,0.242,0.215,0.157,0.134,0.184,0.223,0.258,0.505,0.838,0.733,0.613,0.598,0.575,0.528,0.586,0.656,0.702,0.710,0.718,0.729,0.733,0.737,0.749,0.745,0.787,0.896,0.861,0.849,0.768,0.470,0.292,0.346,0.362,0.339,0.308
0.219,0.227,0.246,0.242,0.246,0.250,0.254,0.227,0.227,0.254,0.261,0.401,0.818,1.000,0.725,0.617,0.594,0.567,0.520,0.536,0.590,0.606,0.606,0.617,0.644,0.660,0.683,0.694,0.687,0.691,0.834,0.892,0.857,0.857,0.733,0.540,0.412,0.354,0.331,0.319
0.230,0.234,0.246,0.250,0.269,0.281,0.281,0.277,0.285,0.300,0.261,0.664,1.000,0.861,0.706,0.625,0.586,0.548,0.524,0.517,0.540,0.501,0.466,0.520,0.575,0.598,0.625,0.652,0.644,0.679,0.838,0.896,0.872,0.865,0.896,0.841,0.760,0.664,0.428,0.285
